Taher Haveliwala
Demis Hassabis
Stanford Pagerank Project
Sepandar Kamvar
Mausam
Parag Singla
Pedro Domingos
Gauss Seidel Method
Idibon, Lilt, Lex Machina, XSeed
Tim Roughgarden's Homepage
Johan Bollen, Associate Professor, Indiana University
Jure Leskovec: Press
Anand Rajaraman | LinkedIn
Jeffrey D. Ullman
Rajeev Rastogi - Wikipedia, the free encyclopedia
Rishi Gupta
Mihai Surdeanu
Christopher Re (Chris Re)
Gabor Angeli
Trishul M. Chilimbi
Ce Zhang
Apache Hadoop
Apache Impala
Cloudera
Sebastian Riedel
Sagae, Kenji
Tim Rocktäschel
Project Adam
stedolan.github.io/jq
Mining of Massive Datasets
Hector Garcia-Molina
Tim Roughgarden
Chegg - Get 24/7 Homework Help | Rent Books
Datawocky
http://www.tracxn.com
"4618",1458418353872.3281,"PLOS ONE: A Machine Reading System for Assembling Synthetic Paleontological Databases",0,"http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0113523",2
"4619",1458368725317.384,"",0,"http://arxiv.org/pdf/1508.01239.pdf",1
"4623",1458369216233.823,"",0,"http://arxiv.org/pdf/1510.00756v1.pdf",1
"4625",1458369246385.5269,"",0,"http://arxiv.org/pdf/1508.07532v4.pdf",1
"4628",1458421787016.756,"",0,"http://arxiv.org/pdf/1407.6439v3.pdf",2
"4642",1458412330018.989,"Correcting for Missing Data in Information Cascades - Stanford InfoLab Publication Server",0,"http://ilpubs.stanford.edu:8090/991/",3
"4657",1458372456579.339,"",0,"http://infolab.stanford.edu/~ullman/mmds/ch4.pdf",1
"4658",1458372458056.8918,"",0,"http://infolab.stanford.edu/~ullman/mmds/ch5.pdf",1
"4659",1458372460493.608,"",0,"http://infolab.stanford.edu/~ullman/mmds/ch6.pdf",1
"4660",1458372464660.338,"",0,"http://infolab.stanford.edu/~ullman/mmds/ch10.pdf",1
"4661",1458372471751.16,"",0,"http://infolab.stanford.edu/~ullman/mmds/ch12.pdf",1
"4667",1458407988698.741,"IEEE Xplore Full-Text PDF:",0,"http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1198386",1
"4683",1458409668715.8699,"",0,"http://infolab.stanford.edu/~ullman/mmds/preface.pdf",1
"4703",1458410632425.283,"",0,"http://cs.stanford.edu/people/jure/pubs/ringo-sigmod15.pdf",1
"4717",1458411591157.0671,"",0,"http://ilpubs.stanford.edu:8090/963/1/CACMpaper.pdf",1
"4722",1458412179607.389,"",0,"http://ilpubs.stanford.edu:8090/991/1/wsdm11-missing-data.pdf",1
"4733",1458412751850.956,"Updating an Existing Social Network Snapshot via a Limited API - Stanford InfoLab Publication Server",0,"http://ilpubs.stanford.edu:8090/1135/",1
"4734",1458416135339.8608,"",0,"https://www.cs.rochester.edu/~schubert/papers/semantic-representation15.pdf",1
"4785",1458416907940.014,"[1504.04343] Caffe con Troll: Shallow Ideas to Speed Up Deep Learning",0,"http://arxiv.org/pdf/1504.04343.pdf",1
"4787",1458416940698.3608,"",0,"http://arxiv.org/pdf/1504.04343v2.pdf",1
"4841",1458421294225.437,"",0,"http://nlp.cs.rpi.edu/kbp/2015/kbp2015edl_taskspec_v1.1.pdf",1
"4852",1458421979493.408,"",0,"http://ml.cs.washington.edu/www/media/papers/tmpBHI1Wq.pdf",1
"4854",1458423877451.9702,"",0,"http://arxiv.org/pdf/1403.7550v3.pdf",1
"4856",1458427647287.129,"",0,"http://www.aclweb.org/anthology/D12-1042.pdf",1
"4857",1458427832608.4648,"",0,"https://www.researchgate.net/profile/Tomoko_Ohta2/publication/223820279_Overview_of_the_infectious_diseases_(ID)_task_of_BioNLP_Shared_Task_2011/links/00b4952bfdbfcc0f65000000.pdf#page=53",1
"4859",1458427850457.04,"",0,"http://www.aclweb.org/anthology/W11-1806",1
"4862",1458428044763.9912,"",0,"http://arxiv.org/pdf/1104.3216.pdf",1
"4866",1458428130865.0342,"",0,"http://www2009.eprints.org/11/1/p101.pdf",1
"4869",1458428486161.302,"",0,"https://homes.cs.washington.edu/~lsz/papers/fze-kdd14.pdf",1
"4890",1458429508485.916,"",0,"http://arxiv.org/pdf/1603.04153v1.pdf",1
"4913",1458503318759.639,"renlinfang.msra.cn",0,"http://ijcai.org/Proceedings/11/Papers/200.pdf",1
"4985",1458511115945.097,"",0,"http://emnlp2014.org/material/presentation-EMNLP2014164.pdf",1
"4994",1458512174524.003,"",0,"http://www.emnlp2014.org/papers/pdf/EMNLP2014164.pdf",1
